,compound0,compound1,similarity
801,DB00184,DB00458,0.2292
802,DB00184,DB00461,0.1687
803,DB00184,DB00465,0.2921
804,DB00184,DB00472,0.1649
805,DB00184,DB00475,0.2105
806,DB00184,DB00477,0.1895
807,DB00184,DB00480,0.2955
808,DB00184,DB00481,0.1791
809,DB00184,DB00482,0.1698
810,DB00184,DB00484,0.2353
811,DB00184,DB00489,0.1687
812,DB00184,DB00490,0.2222
813,DB00184,DB00493,0.1197
814,DB00184,DB00499,0.1429
815,DB00184,DB00501,0.0964
816,DB00184,DB00502,0.2018
817,DB00184,DB00509,0.101
818,DB00184,DB00512,0.0643
819,DB00184,DB00513,0.0
820,DB00184,DB00524,0.2
821,DB00184,DB00529,0.0
822,DB00184,DB00530,0.1513
823,DB00184,DB00531,0.1081
824,DB00184,DB00537,0.2157
